demagogia|de-ma-go-gia|Dominación tiránica del pueblo;;;
demagogo|de-ma-go-go|El que aparenta sostener los intereses del pueblo para conquistar su favor;;;
demanda|de-man-da|Der. Escrito que se presenta al juez para que resuelva sobre un derecho que se reclama;;;
demanda|de-man-daDer. Escrito que se presenta al juez para que resuelva sobre un derecho que se reclama;;;
demandado|de-man-da-do|Der. Persona contra quien se actúa o a quien se pide algo en juicio;;;
demandado|de-man-da-do|Der. Persona contra quien se actúa, o a quien se pide algo en juicio;;;
demandar|de-man-dar|Pedir, desear, preguntar una cosa;;;
demarcar|de-mar-car|Señalar o marcar los límites de un país o terreno;;;
demasía|de-ma-sí-a|Exceso, abuso, extralimitación;;;
demasiado|de-ma-sia-do|En exceso, en demasía;;;
demediar|de-me-diar|Partir, dividir en mitades;;;
demencia|de-men-cia|Locura, privación del juicio;;;
demente|de-men-te|Loco  falto de juicio;;;
demente|de-men-te|Loco, falto de juicio;;;
demiurgo|de-miur-go|En la filosofía de los gnósticos  alma universal  principio activo del mundo;;;
democión|de-mo-ción|Pérdida progresiva de los privilegios y derechos de una persona;;;
demócrata|de-mó-cra-ta|Partidario de la democracia;;;
demócrito|de-mó-cri-to|Filósofo griego que desarrolló la teoría atómica del universo, concebida por su mentor, el filósofo Leucipo (c. 460 a.C.-370 a.C.);;;
Demócrito|de-mó-cri-to|Filósofo griego que desarrolló la teoría atómica del universo, concebida por su mentor, el filósofo Leucipo (c. 460 a.C.-370 a.C.);;;
demoledor|de-mo-le-dor|Que demuele o puede demoler;;;
demoler|de-mo-ler|Derribar una construcción;;;
demonio|de-mo-nio|Diablo, espíritu que incita al mal;;;
demora|de-mo-ra|Dilación, tardanza;;;
demorar|de-mo-rar|Retardar, atrasar, aplazar;;;
demostrar|de-mos-trar|Probar alguna cosa con evidencia o con muestras inequívocas;;;
demostrar|de-mos-trar|Probar la veracidad de alguna cosa con evidencia o con muestras inequívocas;;;
demudar|de-mu-dar|Cambiar repentinamente el color, el gesto o la expresión del semblante;;;
denario|de-na-rio|Que se refiere al número diez o lo contiene;;;
dendrita|den-dri-ta|Prolongación protoplásmica ramificada de una célula nerviosa;;;
dendroide|den-droi-de|Que forma ramificaciones análogas a las ramas de un árbol;;;
denegar|de-ne-gar|No conceder lo que se pide o solicita;;;
denegrido|de-ne-gri-do|De color que tira a negro, ennegrecido;;;
dengue|den-gue|Enfermedad epidémica caracterizada por fiebre, dolores en los miembros y erupción cutánea seguida de descamación;;;
dengue|den-gue|Enfermedad epidémica caracterizada por fiebre, dolores en los miembros y una erupción cutánea seguida de descamación;;;
denigrar|de-ni-grar|Hablar mal de una persona o cosa para destruir su buena fama u opinión;;;
denodado|de-no-da-do|Atrevido, esforzado, valiente, intrépido;;;
denominar|de-no-mi-nar|Nombrar o distinguir con un nombre a una persona o cosa;;;
denostar|de-nos-tar|Injuriar gravemente;;;
densidad|den-si-dad|Relación entre la masa y el volumen de una sustancia;;;
denso|den-so|Compacto, que contiene mucha materia en poco espacio;;;
dentadura|den-ta-du-ra|Conjunto de dientes de una persona o animal;;;
dentario|den-ta-rio|Dental, relativo a los dientes;;;
dentejón|den-te-jón|Yugo con que se uncen los bueyes a la carreta;;;
dentera|den-te-ra|Sensación desagradable experimentada en los dientes;;;
dentición|den-ti-ción|Tiempo en que se echa la dentadura;;;
dentina|den-ti-na|Marfil de los dientes;;;
dentista|den-tis-ta|Persona que por profesión o estudio se dedica a la odontología;;;
denuedo|de-nue-do|Brío, esfuerzo, intrepidez;;;
denuesto|de-nues-to|Insulto, injuria grave de palabra;;;
denuncia|de-nun-cia|Notificación a la autoridad competente de una violación de la ley;;;
denunciar|de-nun-ciar|Dar a la autoridad parte o noticia de un daño hecho;;;
denunciar|de-nun-ciar|Notificar a una autoridad sobre un delito o sobre la persona que lo cometió;;;
departir|de-par-tir|Conversar con alguien sobre algo;;;
depende|de-pen-de|Está condicionada una cosa con otra;;;
depender|de-pen-der|Estar una persona bajo el dominio o autoridad de otra;;;
depilar|de-pi-lar|Quitar el vello de una parte del cuerpo;;;
deplorar|de-plo-rar|Lamentar viva y profundamente algo;;;
deponente|de-po-nen-te|Testigo en un tribunal;;;
deportar|de-por-tar|Transportar a un condenado a un lugar lejano del que no debe salir;;;
deporte|de-por-te|Juego o ejercicio en que se hace prueba de agilidad, destreza o fuerza;;;
deportivo|de-por-ti-vo|Automóvil de dos puertas, carrocería aerodinámica y muy veloz;;;
depositar|de-po-si-tar|Colocar algo en un sitio determinado por un tiempo;;;
depositar|de-po-si-tar|Poner dinero en una cuenta bancaria;;;
depósito|de-pó-si-to|Lugar donde se coloca algo por un tiempo;;;
depravado|de-pra-va-do|Pervertido, demasiado viciado en las costumbres;;;
depravar|de-pra-var|Viciar, corromper, pervertir;;;
deprecar|de-pre-car|Rogar, suplicar con instancia o eficacia una cosa;;;
depresión|de-pre-sión|Síndrome caracterizado por una tristeza profunda;;;
depresivo|de-pre-si-vo|Que deprime el ánimo;;;
deprimido|de-pri-mi-do|Que sufre depresión fisiológica o moral;;;
depurador|de-pu-ra-dor|Dispositivo, aparato o procedimiento para depurar las aguas potables, el gas, etc.;;;
depurar|de-pu-rar|Purificar, quitar las impurezas de una cosa;;;
derecho|de-re-cho|Ciencia que estudia las leyes y su aplicación;;;
deriva|de-ri-va|(A la ~) Buque sin gobierno;;;
derivado|de-ri-va-do|Quím. Producto que se obtiene de otro;;;
derivar|de-ri-var|Traer su origen de alguna cosa;;;
dérmico|dér-mi-co|Med. Relativo a la dermis;;;
dermis|der-mis|Capa de tejido conjuntivo situada debajo de la epidermis y que, con ésta, forma la piel;;;
derqui|der-qui|(Santiago ~) Político y abogado argentino, presidente de la República de 1860 a 1861, (1809-1867);;;
derramar|de-rra-mar|Dejar salir de un recipiente y esparcir líquidos o cosas menudas;;;
derrame|de-rra-me|Porción de un líquido que se sale y pierde del recipiente que lo contiene;;;
derrame|de-rra-mePorción de un líquido que se sale y pierde del recipiente que lo contiene;;;
derrapar|de-rra-par|Patinar un vehículo desviándose lateralmente de la dirección que llevaba;;;
derrape|de-rra-pe|Patinada que da un vehículo desviándose lateralmente de la dirección que llevaba;;;
derredor|de-rre-dor|Rededor, circuito, contorno de una cosa;;;
derretido|de-rre-ti-do|Licuado, fundido;;;
derretir|de-rre-tir|Fundir por medio del calor una cosa sólida;;;
derribado|de-rri-ba-do|Tirado, tumbado, caído;;;
derribar|de-rri-bar|Demoler, echar a tierra cosas o construcciones;;;
derrocar|de-rro-car|Fig. Derribar a uno del estado o fortuna que tiene;;;
derrochar|de-rro-char|Dilapidar los bienes con gastos desordenados  malgastar;;;
derrochar|de-rro-char|Dilapidar los bienes con gastos desordenados, malgastar;;;
derroche|de-rro-che|Gasto desordenado;;;
derroche|de-rro-che|Gasto excesivo y desordenado;;;
derrota|de-rro-ta|Vencimiento completo de un ejército;;;
derrota|de-rro-taVencimiento completo de un ejército;;;
derrotado|de-rro-ta-do|Fam. Deprimido, sobrepasado por los acontecimientos;;;
derrotar|de-rro-tar|Vencer a los contrarios en una discusión, campaña, pelea, encuentro deportivo, etc.;;;
derrotero|de-rro-te-ro|Fig. Camino tomado para lograr el fin propuesto;;;
derrubiar|de-rru-biar|Desmoronar lentamente una corriente de agua la tierra de las riberas o tapias;;;
derrubio|de-rru-bio|Acción y efecto de robar lentamente una corriente de agua la tierra de las riberas o tapias;;;
derruido|de-rrui-do|Edificio derribado o arruinado;;;
derruir|de-rruir|Derribar o arruinar un edificio;;;
derrumbar|de-rrum-bar|Derribar, demoler una construcción o parte de ella;;;
derrumbe|de-rrum-be|Fig. Fuerte disminución o cese de las actividades de un sector económico;;;
desabor|de-sa-bor|Insipidez, desabrimiento en el paladar o en la cosa que se come o bebe;;;
desabrido|de-sa-bri-do|De poco o ningún sabor;;;
desacatar|de-sa-ca-tar|Desobedecer, o no cumplir una norma, ley, orden, etc.;;;
desacato|de-sa-ca-to|Der. Delito que se comete faltando el respeto a una autoridad en el ejercicio de sus funciones;;;
desacorde|de-sa-cor-de|Que no iguala o concuerda con otra cosa, especialmente, instrumento músico desafinado o de distinto tono;;;
desafiar|de-sa-fiar|Retar, provocar a uno a combate, contienda o discusión;;;
desafío|de-sa-fí-o|Reto, acción y efecto de desafiar;;;
desafuero|de-sa-fue-ro|Acto violento contra la ley;;;
desagrado|de-sa-gra-do|Disgusto, descontento;;;
desagua|de-sa-gua|Echa el agua de un lugar;;;
desaguar|de-sa-guar|Echar o sacar el agua de un lugar;;;
desagüe|de-sa-güe|Desaguadero, conducto para sacar el agua de un lugar;;;
desahijar|de-sa-hi-jar|Apartar en el ganado las crías de las madres;;;
desahogo|de-sa-ho-go|Alivio de la pena o aflicción;;;
desahogo|de-sa-ho-go|Alivio de la pena, trabajo o aflicción;;;
desahucio|de-sa-hu-cio|Despido o expulsión del inquilino o arrendatario, por el dueño de la finca;;;
desahuma|de-sa-hu-ma|Quita el humo de un lugar;;;
desahúma|de-sa-hú-ma|Quita el humo de un lugar;;;
desairar|de-sai-rar|Desatender a una persona o desestimar una cosa;;;
desaire|de-sai-re|Desatención, desprecio;;;
desaliño|de-sa-li-ño|Falta de orden y aseo en el atuendo de las personas;;;
desalmado|de-sal-ma-do|Cruel, inhumano;;;
desalojar|de-sa-lo-jar|Sacar o hacer salir de un lugar a una persona o cosa;;;
desalojo|de-sa-lo-jo|Acción y efecto de hacer salir de un lugar a una persona o cosa;;;
desandar|de-san-dar|Volver atrás en el camino ya andado;;;
desangrar|de-san-grar|Sacar o salir la sangre a una persona o a un animal en gran cantidad;;;
desánimo|de-sá-ni-mo|Falta de ánimo o de aliento;;;
desapego|de-sa-pe-go|Fig. Falta de apego o afecto;;;
desarmado|de-sar-ma-do|Desprovisto de armas;;;
desarmar|de-sar-mar|Descomponer un artefacto separando las piezas de que se compone;;;
desarme|de-sar-me|Acción y efecto de desarmar;;;
desasado|de-sa-sa-do|Que tiene rotas o quitadas las asas;;;
desaseado|de-sa-se-a-do|Falto de limpieza;;;
desasear|de-sa-se-ar|Quitar el aseo de una persona o cosa;;;
desasir|de-sa-sir|Soltar, desprender;;;
desasnar|de-sas-nar|Fig. Quitar la rudeza a una persona por medio de la enseñanza;;;
desastre|de-sas-tre|Desgracia grande, suceso infeliz y lamentable;;;
desatavío|de-sa-ta-ví-o|Desaseo, descompostura, desaliño;;;
desatento|de-sa-ten-to|Que no pone en una cosa la atención debida;;;
desatinar|de-sa-ti-nar|Perder el tino en un sitio o lugar;;;
desatino|de-sa-ti-no|Locura, despropósito o error;;;
desavenir|de-sa-ve-nir|Desconcertar, discordar a personas o cosas;;;
desaviado|de-sa-via-do|Que no cuenta con el avío necesario para una cosa;;;
desaviar|de-sa-viar|Quitar o no dar a uno el avío necesario para una cosa;;;
desayunar|de-sa-yu-nar|Tomar el primer alimento del día, que se toma por la mañana;;;
desayuno|de-sa-yu-no|Primer alimento ligero que se toma por la mañana;;;
desazón|de-sa-zón|Fig. Disgusto, pesadumbre, sinsabor;;;
desbancar|des-ban-car|Fig. Suplantar, quitar a alguien de una posición y ocuparla uno mismo;;;
desbastar|des-bas-tar|Gastar, disminuir, quitar las partes más bastas de una cosa;;;
desbocar|des-bo-car|(~se) Hacerse insensible una caballería a la acción del freno y dispararse;;;
desbravar|des-bra-var|Amansar el ganado cerril, caballar o mular;;;
descalzar|des-cal-zar|Perder las caballerías una o más herraduras;;;
descalzo|des-cal-zo|Que trae desnudos los pies;;;
descamar|des-ca-mar|Caerse la piel en forma de escamillas;;;
descansar|des-can-sar|Cesar el trabajo, reposar para reparar las fuerzas;;;
descanso|des-can-so|Intermedio de un espectáculo o de una competición deportiva;;;
descarado|des-ca-ra-do|Desvergonzado, atrevido, insolente;;;
descarga|des-car-ga|Acción y efecto de descargar;;;
descargo|des-car-go|Satisfacción, respuesta o excusa de un cargo;;;
descaro|des-ca-ro|Desvergüenza, atrevimiento, insolencia;;;
descarrío|des-ca-rrí-o|Acción y efecto de descarriar o descarriarse;;;
descartar|des-car-tar|Dejar en el juego las cartas que se consideran inútiles;;;
descarte|des-car-te|Dep. Eliminación o exclusión de un jugador o componente de un equipo;;;
descartes|des-car-tes|(René ~) Filósofo, científico y matemático francés, a veces considerado el fundador de la filosofía moderna;;;
descartes|des-car-tes|(René ~) Filósofo, científico y matemático francés, a veces considerado el fundador de la filosofía moderna (1596 - 1650);;;
descartes|des-car-tes|(René) Filósofo, científico y matemático francés, a veces considerado el fundador de la filosofía moderna (1596 - 1650);;;
Descartes|des-car-tes|(René ~) Filósofo, científico y matemático francés, a veces considerado el fundador de la filosofía moderna (1596 - 1650);;;
descasar|des-ca-sar|Divorciar, separar a los casados, anular el matrimonio;;;
descender|des-cen-der|Bajar, pasar de un lugar alto a otro bajo;;;
descenso|des-cen-so|Bajada.// Fig. Caída de una dignidad o estado a otro inferior;;;
descepar|des-ce-par|Arrancar de raíz los árboles o plantas que tienen cepa;;;
deschalar|des-cha-lar|Argent. Quitar la chala del maíz;;;
deschavar|des-cha-var|Argent., Urug. Descubrir algo que se mantenía oculto;;;
desciende|des-cien-de|Baja, decrece, disminuye;;;
descifrar|des-ci-frar|Leer un escrito cifrado o llegar a leer lo escrito en caracteres o lengua desconocidos;;;
descolgar|des-col-gar|Levantar el auricular de un aparato telefónico para conseguir la línea que permita la comunicación;;;
descollar|des-co-llar|Sobresalir entre otros;;;
desconoce|des-co-no-ce|Halla a una persona o cosa muy diferente de como la había conocido;;;
descontar|des-con-tar|Rebajar una cantidad de una cuenta, factura, etc.;;;
descopar|des-co-par|Cortar la copa de los árboles;;;
descortés|des-cor-tés|Desatento, grosero;;;
Descortés|des-cor-tés|Desatento, grosero;;;
descoser|des-co-ser|Soltar, cortar las puntadas de las cosas que estaban cosidas;;;
descreer|des-cre-er|Faltar a la fe, dejar de creer en una cosa;;;
descreído|des-cre-í-do|Incrédulo, falto de fe;;;
describir|des-cri-bir|Representar personas o cosas por medio del lenguaje;;;
descubrir|des-cu-brir|Hallar lo que estaba ignorado o escondido;;;
descuento|des-cuen-to|Rebaja de una parte de la deuda o precio;;;
descuido|des-cui-do|Omisión, negligencia, falta de cuidado;;;
desdecir|des-de-cir|Retractarse de lo dicho;;;
desdémona|des-dé-mo-na|Esposa de Otelo, en la tragedia de Shakespeare: Otelo, el moro de Venecia;;;
Desdémona|des-dé-mo-na|Esposa de Otelo, en la tragedia de Shakespeare: Otelo, el moro de Venecia;;;
desdén|des-dén|Indiferencia, desapego despreciativo;;;
desdeñar|des-de-ñar|Tratar con desdén a una persona o cosa;;;
desdicha|des-di-cha|Desgracia, infortunio;;;
desdoblar|des-do-blar|Extender lo que estaba doblado;;;
desdoro|des-do-ro|Deslustre en la virtud, reputación, fama, etc.;;;
deseaba|de-se-a-ba|Quería, anhelaba;;;
deseable|de-se-a-ble|Digno de ser deseado;;;
deseado|de-se-a-do|(Puerto ~) Ciudad del sur de Argentina, en la provincia de Santa Cruz;;;
desear|de-se-ar|Querer, codiciar, ambicionar;;;
desechado|de-se-cha-do|Excluido, apartado, dejado por inútil;;;
desechar|de-se-char|Dejar por inútil;;;
desecho|de-se-cho|Residuo, desperdicio, recorte sobrante en una industria;;;
desempate|de-sem-pa-te|Acción de competir, votar, etc. nuevamente, después de haber empatado;;;
desempleo|de-sem-ple-o|Falta de trabajo;;;
desenfado|de-sen-fa-do|Desempacho, desenvoltura;;;
desengaño|de-sen-ga-ño|Desilusión, decepción;;;
desenlace|de-sen-la-ce|Final de un suceso, de una narración o de una obra dramática;;;
desenojo|de-se-no-jo|Deposición del enojo;;;
deseoso|de-se-o-so|Que desea algo;;;
desequido|de-se-qui-do|Reseco, demasiado seco;;;
desequido|de-se-qui-doReseco, demasiado seco;;;
desertar|de-ser-tar|Abandonar el soldado sus banderas;;;
desértico|de-sér-ti-co|Despoblado, solo, inhabitado;;;
desertor|de-ser-tor|Soldado que abandona las filas en que sirve;;;
desespero|de-ses-pe-ro|Pérdida total de la esperanza;;;
desfalco|des-fal-co|Acción de tomar para sí un caudal que se tenía bajo obligación de custodia;;;
desfase|des-fa-se|Diferencia, separación, falta de correspondencia entre varias cosas;;;
desfilar|des-fi-lar|Pasar las tropas ante el rey o un elevado personaje, etc.;;;
desfilar|des-fi-lar|Pasar las tropas ante el rey, un elevado personaje, etc.;;;
desfile|des-fi-le|Marcha de las tropas en orden y formación;;;
desgajar|des-ga-jar|Desgarrar, arrancar una rama del tronco;;;
desgajar|des-ga-jar|Desgarrar, arrancar una rama del tronco, y en general, despedazar, romper alguna cosa;;;
desganado|des-ga-na-do|Sin ganas de hacer cosas;;;
desgano|des-ga-no|Tedio, fastidio o falta de deseo de hacer algo;;;
desgarro|des-ga-rro|Rotura o rompimiento;;;
desgastar|des-gas-tar|Quitar o consumir por el roce parte de una cosa;;;
desgastar|des-gas-tarQuitar o consumir por el roce parte de una cosa;;;
desglosar|des-glo-sar|Fig. Separar, apartar una cuestión de otras, especialmente para estudiarla o considerarla por separado;;;
desglose|des-glo-se|Acción de dividir un escenario en diferentes escenas;;;
desgracia|des-gra-cia|Caso o acontecimiento funesto;;;
desgramar|des-gra-mar|Arrancar o quitar la grama;;;
deshacer|des-ha-cer|Destruir o alterar lo que se ha hecho o está hecho;;;
deshielo|des-hie-lo|Época en que se derriten los hielos;;;
deshielo|des-hie-lo|Época o temporada en que se derriten los hielos;;;
deshilado|des-hi-la-do|Labor que se hace sacando hilos de un tejido y haciendo calados con los que quedan;;;
deshojar|des-ho-jar|Quitar las hojas a una planta o los pétalos a una flor;;;
deshojar|des-ho-jarQuitar las hojas a una planta o los pétalos a una flor;;;
deshonor|des-ho-nor|Pérdida del honor, afrenta, deshonra;;;
deshonor|des-ho-norPérdida del honor, afrenta, deshonra;;;
deshora|des-ho-ra|Tiempo inoportuno, no conveniente;;;
desidioso|de-si-dio-so|Negligente, dejado, abandonado;;;
desierto|de-sier-to|Lugar inhabitado  especialmente por su esterilidad  falta de vegetación  etc;;;
desierto|de-sier-to|Lugar inhabitado, especialmente por su esterilidad, falta de vegetación, etc.;;;
desierto|de-sier-toLugar inhabitado, especialmente por su esterilidad, falta de vegetación, etc.;;;
designado|de-sig-na-do|Señalado para un fin determinado;;;
designar|de-sig-nar|Señalar a una persona o cosa para determinado fin;;;
designio|de-sig-nio|Intención, propósito, fin;;;
desinfla|de-sin-fla|Saca el aire que llenaba alguna cosa;;;
desinflar|de-sin-flar|Sacar el aire que llenaba alguna cosa;;;
desistir|de-sis-tir|Renunciar abdicar;;;
desistir|de-sis-tir|Renunciar, abdicar;;;
desleal|des-le-al|Traidor, que obra sin lealtad;;;
desleído|des-le-í-do|Disuelto  desunido por medio de un líquido;;;
desleído|des-le-í-do|Disuelto, desunido por medio de un líquido;;;
desleír|des-le-ír|Disolver las partes de algunos cuerpos por medio de un líquido;;;
desligar|des-li-gar|Fig. Separar una cosa de otra a la que va naturalmente unida;;;
deslinde|des-lin-de|Derecho que corresponde al propietario de una finca para delimitar los términos de la misma;;;
deslizar|des-li-zar|Correr un cuerpo por encima de una superficie lisa o mojada;;;
desliz|des-liz|Fig. Desacierto, equivocación, indiscreción voluntaria;;;
deslomar|des-lo-mar|Trabajar o esforzarse mucho;;;
deslucir|des-lu-cir|Quitar la gracia o el lustre a una cosa;;;
deslucir|des-lu-cirQuitar la gracia o el lustre a una cosa;;;
deslustre|des-lus-tre|Falta de lustre;;;
desmanes|des-ma-nes|Excesos, desórdenes, tropelías;;;
desmañado|des-ma-ña-do|Inhábil, chapucero, torpe;;;
desmarque|des-mar-que|Dep. Acción y efecto de desmarcar;;;
desmayar|des-ma-yar|Perder el sentido y el conocimiento;;;
desmayo|des-ma-yo|Desvanecimiento, pérdida del conocimiento;;;
desmedido|des-me-di-do|Desproporcionado, falto de medida;;;
desmedro|des-me-dro|Deterioro, decaimiento, debilidad;;;
desmelar|des-me-lar|Quitar la miel a la colmena;;;
desmentir|des-men-tir|Demostrar la falsedad de un dicho o hecho;;;
desmesura|des-me-su-ra|Descomedimiento, falta de mesura;;;
desmesura|des-me-su-raDescomedimiento, falta de mesura;;;
desnatar|des-na-tar|Quitar la nata a un producto lácteo;;;
desnivel|des-ni-vel|Diferencia de alturas entre dos o más puntos;;;
desnucar|des-nu-car|Dislocar o fracturar los huesos de la nuca;;;
desolado|de-so-la-do|Afligido, apenado, desconsolado;;;
desolador|de-so-la-dor|Aflictivo, angustiante en extremo;;;
desollar|de-so-llar|Quitar la piel de un animal;;;
desorden|de-sor-den|Falta de orden, confusión;;;
desosar|de-so-sar|Deshuesar, quitar los huesos;;;
desosar|des-o-sar|Deshuesar, quitar los huesos;;;
desovar|de-so-var|Soltar las hembras de los peces y anfibios sus huevos;;;
desoxidar|de-so-xi-dar|Limpiar un metal del óxido que lo mancha;;;
despachar|des-pa-char|En una tienda o comercio, vender las mercaderías;;;
Despacho|des-pa-cho|Local destinado al estudio o a una gestión profesional;;;
despacio|des-pa-cio|Poco a poco, lentamente;;;
desparejo|des-pa-re-jo|Desigual, con desnivel;;;
despecho|des-pe-cho|Disgusto originado por un desengaño;;;
despedida|des-pe-di-da|Saludo que hacen las personas cuando están a punto de separarse;;;
despedido|des-pe-di-do|Que ha perdido el empleo;;;
despedir|des-pe-dir|Saludar a la persona que se retira;;;
despedir|des-pe-dirSaludar a la persona que se retira;;;
despedrar|des-pe-drar|Limpiar de piedras un terreno, camino, etc.;;;
despegar|des-pe-gar|Levantar vuelo un avión;;;
despegue|des-pe-gue|Acción de elevarse de la tierra un avión  helicóptero  etc.;;;
despegue|des-pe-gue|Acción de elevarse de la tierra un avión, helicóptero, etc.;;;
despejado|des-pe-ja-do|Cielo sin nubes;;;
despejar|des-pe-jar|Mat. Separar por medio del cálculo una incógnita de las otras cantidades que la acompañan en una ecuación;;;
despensa|des-pen-sa|Lugar donde se guardan los comestibles;;;
despensa|des-pen-sa|Provisión de comestibles;;;
despensa|des-pen-sa|Provisión de comestibles.// Lugar donde se guardan los comestibles;;;
despeñar|des-pe-ñar|Precipitar a una persona o cosa desde un precipicio;;;
despertar|des-per-tar|Cortar el sueño al que está durmiendo;;;
despido|des-pi-do|Decisión del empresario por la que pone término a la relación laboral que le unía a un empleado;;;
despintar|des-pin-tar|Quitar la pintura a lo pintado;;;
despique|des-pi-que|Satisfacción que se toma de una ofensa o desprecio recibido y cuya memoria se conservaba con rencor;;;
despistar|des-pis-tar|Hacer perder la pista a uno;;;
despiste|des-pis-te|Movimiento brusco que saca al vehículo de la dirección que seguía;;;
desplante|des-plan-te|Fig. Dicho o hecho lleno de arrogancia, descaro o desabrimiento;;;
desplante|des-plan-teFig. Dicho o hecho lleno de arrogancia, descaro o desabrimiento;;;
desplatar|des-pla-tar|Separar la plata que se halla mezclada con otro metal;;;
desplate|des-pla-te|Acción y efecto de separar la plata que se halla mezclada con otro metal;;;
desplazar|des-pla-zar|Trasladar, ir de un lugar a otro;;;
desplomar|des-plo-mar|Caer a plomo una cosa de gran peso;;;
desplomo|des-plo-mo|Desviación de la posición vertical;;;
desplumar|des-plu-mar|Fig. Pelar, quitar los bienes, dejarle a uno sin dinero;;;
desplume|des-plu-me|Acción de desplumar un ave;;;
despojar|des-po-jar|Privar a uno, generalmente con violencia, de lo que goza y tiene;;;
despojo|des-po-jo|Aquello que se ha perdido por el tiempo, por la muerte u otros accidentes;;;
desposado|des-po-sa-do|Recién casado;;;
desposar|des-po-sar|Contraer esponsales;;;
déspota|dés-po-ta|Fig. Persona que abusa de su poder o autoridad;;;
despótico|des-pó-ti-co|Absoluto, sin ley, tiránico;;;
desprecio|des-pre-cio|Desaire, desdén, falta de aprecio;;;
después|des-pués|Luego, más tarde;;;
despulpar|des-pul-par|Sacar o deshacer la pulpa de algunos frutos;;;
despuntar|des-pun-tar|Empezar a aparecer;;;
desquejar|des-que-jar|Formar esquejes de los retoños de las plantas;;;
desquicio|des-qui-cio|Desorden y desorganización que generalmente se produce por la falta de control;;;
desquitar|des-qui-tar|Tomar satisfacción, vengar una ofensa, daño o derrota;;;
desquite|des-qui-te|Venganza, despique;;;
destacado|des-ta-ca-do|Sobresaliente, distinguido;;;
destacar|des-ta-car|Hacer resaltar una cosa.// Fig. Sobresalir, descollar;;;
destajo|des-ta-jo|(A~) Fig. Con empeño, sin descanso y aprisa;;;
destajo|des-ta-jo|(A ~) Fig. Con empeño, sin descanso y aprisa;;;
destallar|des-ta-llar|Quitar los tallos inútiles a las plantas;;;
destapar|des-ta-par|Quitar la tapa;;;
destape|des-ta-pe|Liberalización de prohibiciones, restricciones, etc.;;;
destape|des-ta-peLiberalización de prohibiciones, restricciones, etc.;;;
destejer|des-te-jer|Deshacer lo tejido;;;
destello|des-te-llo|Chispazo o ráfaga de luz intensa y de breve duración;;;
desteñido|des-te-ñi-do|Que se le han borrado o apagado los colores;;;
desteñir|des-te-ñir|Borrar o apagar los colores de una cosa;;;
desterrar|des-te-rrar|Expulsar a uno por justicia de un territorio o lugar;;;
destiempo|des-tiem-po|(A ~) Fuera de tiempo, sin oportunidad;;;
destiempo|des-tiem-po|(A) Fuera de tiempo, sin oportunidad;;;
destierro|des-tie-rro|Exilio, confinamiento, deportación;;;
destilar|des-ti-lar|Evaporar la parte volátil de una sustancia y reducirla luego a líquida por medio del frío;;;
destinado|des-ti-na-do|Dedicado, aplicado, consagrado;;;
destinar|des-ti-nar|Señalar o determinar una cosa para algún fin o efecto;;;
destino|des-ti-no|Lugar a donde va dirigido un envío, viajero, etc.;;;
destino|des-ti-noLugar a donde va dirigido un envío, viajero, etc.;;;
destituir|des-ti-tuir|Separar a uno de su cargo como corrección o castigo;;;
destrabar|des-tra-bar|Quitar las trabas;;;
destreza|des-tre-za|Habilidad, agilidad, soltura;;;
destronar|des-tro-nar|Fig. Desposeer a uno de su preeminencia;;;
destroyer|des-tro-yer|(Pal. ingl.) Mar. Cazatorpedero, destructor;;;
destrozar|des-tro-zar|Despedazar, romper una cosa;;;
destrozón|des-tro-zón|Fig. Que destroza o rompe mucho;;;
destrozón|des-tro-zónFig. Que destroza o rompe mucho;;;
destruir|des-truir|Arruinar, deshacer lo que está construido u otra cosa material;;;
destruye|des-tru-ye|Destroza, ocasiona un grave daño;;;
desunión|de-su-nión|Separación de las cosas que estaban unidas;;;
desusado|de-su-sa-do|Que ha dejado de usarse;;;
desusar|de-su-sar|Dejar de usar una cosa;;;
desuso|de-su-so|(En ~) Que ha dejado de usarse;;;
desuso|de-su-so|(En) Que ha dejado de usarse;;;
desvaído|des-va-í-do|Impreciso, poco definido;;;
desvalido|des-va-li-do|Desamparado, falto de ayuda y socorro;;;
desván|des-ván|Parte más alta de la casa, inmediata al tejado;;;
desvarío|des-va-rí-o|Dicho o hecho fuera de concierto;;;
desvelar|des-ve-lar|Quitar el sueño a uno;;;
desvestir|des-ves-tir|Quitar todo el vestido o parte de él;;;
desviado|des-via-do|Separado de su curso o de su camino;;;
desvío|des-ví-o|Cambio de recorrido provisorio en una carretera o camino;;;
desyerbar|des-yer-bar|Arrancar las hierbas perjudiciales;;;
deszocado|des-zo-ca-do|Que se le ha quitado el zócalo;;;
detallar|de-ta-llar|Referir una cosa con todos sus pormenores;;;
detalle|de-ta-lle|Particularidad, cosa secundaria;;;
detectar|de-tec-tar|Descubrir la existencia de algo que no era patente;;;
detective|de-tec-ti-ve|Persona que se ocupa en hacer investigaciones reservadas y particulares;;;
detener|de-te-ner|Suspender una cosa, impedir que pase adelante;;;
deterger|de-ter-ger|Limpiar un objeto sin corroerlo;;;
deterioro|de-te-rio-ro|Daño, menoscabo;;;
determina|de-ter-mi-na|Fija, precisa una cosa previa deliberación o estudio;;;
determina|de-ter-mi-na|Instrumento musical de percusión de forma similar al pandero, pero de menor tamaño;;;
detestar|de-tes-tar|Aborrecer, odiar;;;
