academy|a-ca-de-my|(Royal ~ of Arts) Principal academia artística de Londres, constituida para alentar y mejorar la pintura, la escultura y la arquitectura en el país;;;
acaecer|a-ca-e-cer|Suceder, realizarse un hecho;;;
acalefo|a-ca-le-fo|Medusa, aguaviva;;;
acallar|a-ca-llar|Hacer callar.// Fig. Aplacar, aquietar;;;
acalorado|a-ca-lo-ra-do|Fig. Apasionado, vehemente, enardecido en controversias, disputas, conversaciones, etc.;;;
acalorar|a-ca-lo-rar|Dar o causar calor;;;
acaloro|a-ca-lo-ro|Acaloramiento, sofocación;;;
acampado|a-cam-pa-do|Instalado o residente en un campamento;;;
acampanar|a-cam-pa-nar|Dar figura de campana;;;
acampar|a-cam-par|Alojarse en tiendas de campaña en el campo;;;
Acampar|a-cam-par|Alojarse en tiendas de campaña en el campo;;;
acampsia|a-camp-sia|Pat. Imposibilidad de doblar las articulaciones;;;
acanalado|a-ca-na-la-do|De figura larga y abarquillada;;;
acanalado|a-ca-na-la-do|Que tiene hendiduras o partes cóncavas, largas y rectas, en su superficie;;;
acanalar|a-ca-na-lar|Hacer canales en alguna cosa;;;
acanelado|a-ca-ne-la-do|De color o sabor de canela;;;
acantear|a-can-te-ar|Tirar piedras o cantos a uno;;;
acantonar|a-can-to-nar|Distribuir y alojar tropas en diversos lugares o cantones;;;
acántopo|a-cán-to-po|Zool. Dícese del animal que tiene el contorno del ojo provisto de púas o espinas;;;
acántopos|a-cán-to-pos|Zool. Dícese de los animales que tiene el contorno de los ojos provistos de púas o espinas;;;
acaobado|a-ca-o-ba-do|Que tiene color de caoba;;;
acaparar|a-ca-pa-rar|Acopiar cosas en perjuicio de los demás;;;
acápite|a-cá-pi-te|Amér. Párrafo, especialmente en textos legales;;;
acapulco|a-ca-pul-co|Ciudad y puerto marítimo del suroeste de México, situada en el estado de Guerrero, junto al océano Pacífico;;;
Acapulco|a-ca-pul-co|Ciudad y puerto marítimo del suroeste de México, situada en el estado de Guerrero, junto al océano Pacífico;;;
acaramela|a-ca-ra-me-la|Carameliza, baña de caramelo;;;
acariciar|a-ca-ri-ciar|Tocar suavemente algo;;;
acárido|a-cá-ri-do|Ácaro, arácnido;;;
acáridos|a-cá-ri-dos|Orden de arácnidos diminutos, de abdomen sentado; muchos de ellos son parásitos de vegetales o animales; como el arador de la sarna;
ácaros|á-ca-ros|Orden de arácnidos diminutos, de abdomen sentado;;;
acarpo|a-car-po|Bot. Que no produce fruto;;;
acarpos|a-car-pos|Bot. Que no producen frutos;;;
acarrear|a-ca-rre-ar|Transportar.// Fig. Ocasionar, causar;;;
acarreo|a-ca-rre-o|Precio que se cobra por acarrear;;;
acartonar|a-car-to-nar|Ponerse como cartón;;;
acaso|a-ca-so|Quizá, tal vez;;;
acatable|a-ca-ta-ble|Digno de acatamiento o respeto;;;
acatar|a-ca-tar|Obedecer una orden;;;
acatólico|a-ca-tó-li-co|Que no pertenece a la Iglesia Católica;;;
acaule|a-cau-le|Bot. Planta cuyo tallo es tan corto que parece que no lo tiene;;;
accede|ac-ce-de|Consiente en lo que alguien solicita o quiere;;;
accede|ac-ce-de|Consiente en lo que otro solicita o quiere;;;
acceder|ac-ce-der|Consentir en lo que otro solicita o quiere;;;
accesible|ac-ce-si-ble|Fig. De fácil acceso o trato;;;
accesión|ac-ce-sión|Cosa accesoria;;;
accésit|ac-cé-sit|En un certamen, recompensa inmediatamente inferior al premio;;;
acceso|ac-ce-so|Entrada, paso, lugar por donde se entra a un sitio;;;
acceso|ac-ce-soEntrada, paso, lugar por donde se entra a un sitio;;;
accesorio|ac-ce-so-rio|Herramienta o utensilio auxiliar;;;
accidente|ac-ci-den-te|Suceso eventual, especialmente desgraciado;;;
acciona|ac-cio-na|Pone en marcha un mecanismo;;;
acción|ac-ción|Ejecución de un acto voluntario;;;
accionar|ac-cio-nar|Poner en marcha un mecanismo;;;
acciones|ac-cio-nes|Partes alícuotas del capital social de una empresa, que proporcionan a su propietario una renta variable;;;
acebedo|a-ce-be-do|Terreno poblado de acebos;;;
acebrado|a-ce-bra-do|Que tiene manchas como la cebra;;;
acebuchal|a-ce-bu-chal|Terreno poblado de acebuches;;;
acebuche|a-ce-bu-che|Nombre vulgar del olivo silvestre, de menor talla que la forma cultivada y con las ramas espinosas;;;
acechar|a-ce-char|Observar, espiar, vigilar cautelosamente;;;
acecinar|a-ce-ci-nar|Salar las carnes, y secarlas al aire y al humo para que se conserven;;;
acedera|a-ce-de-ra|Planta poligonácea, de tallo fistuloso y hojas sagitales, obtusas y de sabor ácido, que se emplean como condimento;;;
acefalia|a-ce-fa-lia|Calidad de acéfalo;;;
acéfalo|a-cé-fa-lo|Falto de cabeza;;;
aceite|a-cei-te|Líquido graso que se extrae de la aceituna, del maíz, del girasol, del petróleo, etc.;;;
